CompanyName,CEO,YearEstablished,Description,Industry
Altair Engineering Inc.,Mr. James R. Scapa,1950,"Altair Engineering Inc., together with its subsidiaries, provides software and cloud solutions in the areas of simulation, high-performance computing, data analytics, and artificial intelligence worldwide. The company operates through two segments, Software and Client Engineering Services. Its software segment includes solvers and optimization technology products, high-performance computing software applications and hardware products, modeling and visualization tools, data analytics and analysis products, and IoT platform and analytics tools, as well as support and complementary software products. This segment also provides software technologies in the areas of computational fluid dynamics and fatigue, manufacturing process simulation, and cost estimation for the applications in marine, motorcycle, aerospace, chemical, and architecture industries; and software-related services, such as consulting, implementation, and training services focused on product design and development expertise and analysis from the component level up to complete product engineering at various stage of the lifecycle. The Client Engineering Services segment offers client engineering services. Its integrated suite of software optimizes design performance across various disciplines, including structures, motion, fluids, thermal management, electromagnetics, system modeling, and embedded systems. Altair Engineering Inc. was founded in 1985 and is headquartered in Troy, Michigan.",Software—Infrastructure
Altitude Acquisition Corp.,Mr. Gary  Teplis,1971,"Altitude Acquisition Corp. does not have significant operations. It focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or other business combination with one or more businesses. The company was incorporated in 2020 and is based in Atlanta, Georgia.",Shell Companies
Altitude Acquisition Corp.,Mr. Gary  Teplis,1965,"Altitude Acquisition Corp. does not have significant operations. It focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or other business combination with one or more businesses. The company was incorporated in 2020 and is based in Atlanta, Georgia.",Shell Companies
"Autoliv, Inc.",Mr. Mikael  Bratt,1950,"Autoliv, Inc., through its subsidiaries, develops, manufactures, and supplies automotive safety systems to the automotive industry in Europe, the Americas, China, Japan, and rest of Asia. It offers passive safety systems, including modules and components for frontal-impact airbag protection systems, side-impact airbag protection systems, seatbelts, steering wheels, inflator technologies, and battery cable cutters, as well as protection systems for road users, such as pedestrians and cyclists. The company primarily serves car manufacturers. Autoliv, Inc. was founded in 1953 and is headquartered in Stockholm, Sweden.",Auto Parts
"AlloVir, Inc.",Mr. David L. Hallal,1968,"Allovir, Inc., a clinical-stage cell therapy company, engages in the research and development of allogeneic, off-the-shelf multi-virus specific T cell (VST) therapies to prevent and treat devastating viral-associated diseases. The company's lead product is Viralym-M, an allogeneic, off-the-shelf VST therapy, to treat BK virus, cytomegalovirus, adenovirus, Epstein-Barr virus, and human herpesvirus 6. Its preclinical and clinical development product candidates include ALVR106 for respiratory syncytial virus, influenza, parainfluenza virus, and human metapneumovirus; ALVR109 to treat SARS-CoV-2 and COVID-19; ALVR107 for treating hepatitis B; and ALVR108 to treat human herpesvirus-8, including Kaposi's sarcoma, primary effusion lymphoma, and multicentric Castleman's diseases. The company was formerly known as ViraCyte, Inc. and changed its name to Allovir, Inc. in May 2019. Allovir, Inc. was founded in 2013 and is based in Cambridge, Massachusetts.",Biotechnology
"Alexander's, Inc.",Mr. Steven  Roth,1964,"Alexander's, Inc. is a real estate investment trust which has seven properties in the greater New York City metropolitan area.",REIT—Retail
ALX Oncology Holdings Inc.,Dr. Corey S. Goodman Ph.D.,1973,"ALX Oncology Holdings Inc., a clinical-stage immuno-oncology company, focuses on developing therapies for patients fighting cancer. Its lead product candidate is ALX148, a CD47 blocking therapeutic that is in Phase 1b/2 clinical trial used for the treatment of myelodysplastic syndromes; and for the treatment of acute myeloid leukemia and non-Hodgkin's lymphoma, as well as a range of solid tumor indications, including head and neck squamous cell; human epidermal growth factor receptor 2 (HER2) positive gastric/gastroesophageal junction carcinoma; and HER2-expressing breast cancer. The company's pre-clinical products include SIRPa TRAAC that offers ways to engage the innate and adaptive immune response to cancer. ALX Oncology Holdings Inc. has a collaboration agreement with Merck for a Phase 2 trial evaluating ALX148 in combination with pembrolizumab with and without chemotherapy in patients with head and neck cancer; Zymeworks on a Phase 1 trial evaluating ALX148 with the HER2-targeting bispecific antibody zanidatamab in patients with advanced HER2-expressing breast cancer and other solid tumors; and Tallac Therapeutics for the development, manufacturing and commercialization of a novel class of cancer immunotherapeutics. It also has a license agreement with Selexis SA and Crystal Bioscience, Inc. The company was incorporated in 2015 and is based in Burlingame, California.",Biotechnology
Alithya Group Inc.,Mr. Paul  Raymond,1955,"Alithya Group Inc. provides strategy and digital technology services in Canada, the United States, and Europe. The company's business strategy services include strategic consulting, digital transformation, organizational performance, and enterprise architecture services. It also provides application services, such as digital applications DevOps, legacy systems modernization, control and software engineering, cloud infrastructure, quality assurance, and automated testing; enterprise solutions comprising enterprise resource planning, corporate performance management, customer relationship management, and human capital management; and data and analytics solutions, including business intelligence, data management, artificial intelligence (AI), and machine learning, as well as internet of things. In addition, the company provides AI-FITM, an integrated artificial intelligence and fidelity solution; Askida CTTM, a solution that allows clients to test the functionality of applications on various platforms; Capsure RFTM, a cloud based platform for healthcare providers to inventory management processes; CASSITM analytics for online weekly maintenance, outage management, petrochemical turnarounds, and maintenance and reliability; and SIDERTM, a secure solution that facilitates distribution of medical results to healthcare facilities and to centralized electronic health records. It serves financial services, energy, manufacturing, telecommunications, transportation and logistics, professional services, healthcare, and government sectors. Alithya Group Inc. was founded in 1992 and is headquartered in Montreal, Canada.",Information Technology Services
"Alzamend Neuro, Inc.",Mr. Stephan  Jackman,1998,"Alzamend Neuro, Inc., a preclinical stage biopharmaceutical company, focuses on developing products for the treatment of neurodegenerative diseases and psychiatric disorders. The company's lead product candidate is AL001 for the treatment of Alzheimer's and other neurodegenerative diseases and psychiatric disorders. It is also developing AL002, a cell-based therapeutic vaccine, which seeks to restore the ability of the patient's immunological system to Alzheimer's. The company was incorporated in 2016 and is headquartered in Tampa, Florida.",Biotechnology
Antero Midstream Corporation,Mr. Paul M. Rady,1985,"Antero Midstream Corporation owns, operates, and develops midstream energy infrastructure. It operates through two segments, Gathering and Processing, and Water Handling. The Gathering and Processing segment includes a network of gathering pipelines and compressor stations that collects and processes production from Antero Resources' wells in West Virginia and Ohio. The Water Handling segment delivers fresh water; and offers other fluid handling services, such as wastewater transportation, disposal, and treatment, as well as high rate transfer services. The company was incorporated in 2013 and is headquartered in Denver, Colorado.",Oil & Gas Midstream
Amalgamated Financial Corp.,Mr. Sam D. Brown,1967,"Amalgamated Financial Corp. operates as a bank holding company for Amalgamated Bank that provides commercial banking and trust services for commercial and retail customers in the United States. The company accepts various deposit products, including non-interest and interest-bearing demand accounts, savings and money market accounts, NOW accounts, and certificates of deposit. It also provides various commercial loans comprising commercial and industrial, multifamily mortgage, and commercial real estate loans; and retail loans, such as residential real estate, and consumer and other loans. In addition, the company offers online banking, bill payment, online cash management, and safe deposit box rental services; debit, prepaid, and ATM cards; and trust, custody, and investment management services comprising asset safekeeping, corporate actions, income collections, proxy, account transition, asset transfers, and conversion management services. Further, it provides investment products, such as equity, fixed-income, real estate, and alternative investment products; and brokerage, asset management, and insurance products. It serves advocacy-based non-profits, social welfare organizations, labor unions, political organizations, foundations, sustainability-focused, socially responsible businesses, and other for-profit companies, as well as their members and stakeholders. The company operates a network of six branches in New York City, Washington D.C., San Francisco, and Boston; and a digital banking and mobile platform. Amalgamated Financial Corp. was founded in 1923 and is headquartered in New York, New York.",Banks—Regional
Ambrx Biopharma Inc.,Dr. Feng  Tian,1979,"Ambrx Biopharma Inc., a clinical-stage biologics company, focuses on discovering and developing engineered precision biologics (EPBs) using its proprietary expanded genetic code technology platform. Its lead product candidate is ARX788, an anti-HER2 ADC, which is investigated in various clinical trials for the treatment of breast cancer, gastric/gastroesophageal junction (GEJ) cancer, and other solid tumors, including ongoing Phase 2/3 clinical trials for the treatment of HER2-positive metastatic breast cancer and gastric cancer. The company is also developing two earlier-stage product candidates, including ARX517, an anti-PSMA ADC, which is in a Phase 1 clinical trial for the treatment of prostate cancer and other solid tumors; and ARX305, an anti-CD70 ADC in investigational new drug (IND)-enabling studies for the treatment of renal cell carcinoma (RCC) and other cancers, as well as other multiple product candidates targeting immuno-oncology applications. In addition, it is developing ARX102, an immuno-oncology IL-2 pathway agonist to stimulate the patient's own immune system by targeting the Ã and gamma receptors on the cytotoxic T cell; and ARX822, a fab-small molecule bispecific that is in preclinical development for cancers. The company has license agreements with NovoCodex, Bristol Myers Squibb Company, Agensys, Inc., Sino Biopharmaceutical Co., Ltd., University of California, BeiGene, Ltd., The Scripps Research Institute and The California Research Institute of Biomedical Research, AbbVie Inc., Astellas Pharma Inc., and Elanco Animal Health. Ambrx Biopharma Inc. was founded in 2003 and is based in La Jolla, California.",Biotechnology
American Acquisition Opportunity Inc.,Mr. Mark C. Jensen,1972,"American Acquisition Opportunity Inc. intends to enter into a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization, or other similar business combination with one or more target businesses. It intends to focus on companies in the land holdings and resources industry in the United States. The company was incorporated in 2021 and is based in Fishers, Indiana.",Shell Companies
American Acquisition Opportunity Inc.,Mr. Mark C. Jensen,1997,"American Acquisition Opportunity Inc. intends to enter into a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization, or other similar business combination with one or more target businesses. It intends to focus on companies in the land holdings and resources industry in the United States. The company was incorporated in 2021 and is based in Fishers, Indiana.",Shell Companies
"Applied Materials, Inc.",Mr. Gary E. Dickerson,1970,"Applied Materials, Inc. provides manufacturing equipment, services, and software to the semiconductor, display, and related industries. It operates through three segments: Semiconductor Systems, Applied Global Services, and Display and Adjacent Markets. The Semiconductor Systems segment develops, manufactures, and sells various manufacturing equipment that is used to fabricate semiconductor chips or integrated circuits. This segment also offers various technologies, including epitaxy, ion implantation, oxidation/nitridation, rapid thermal processing, physical vapor deposition, chemical vapor deposition, chemical mechanical planarization, electrochemical deposition, atomic layer deposition, etching, and selective deposition and removal, as well as metrology and inspection tools. The Applied Global Services segment provides integrated solutions to optimize equipment and fab performance and productivity comprising spares, upgrades, services, remanufactured earlier generation equipment, and factory automation software for semiconductor, display, and other products. The Display and Adjacent Markets segment offers products for manufacturing liquid crystal displays; organic light-emitting diodes; and other display technologies for TVs, monitors, laptops, personal computers, electronic tablets, smart phones, and other consumer-oriented devices, as well as equipment for processing flexible substrates. The company operates in the United States, China, Korea, Taiwan, Japan, Southeast Asia, and Europe. Applied Materials, Inc. was founded in 1967 and is headquartered in Santa Clara, California.",Semiconductor Equipment & Materials
"Ambarella, Inc.",Dr. Feng-Ming  Wang,1950,"Ambarella, Inc. develops semiconductor solutions for video that enable high-definition (HD) and ultra HD compression, image processing, and deep neural network processing worldwide. The company's system-on-a-chip designs integrated HD video processing, image processing, artificial intelligence computer vision algorithms, audio processing, and system functions onto a single chip for delivering video and image quality, differentiated functionality, and low power consumption. Its solutions enable the creation of video content for wearable cameras; automotive cameras; drones; virtual reality cameras; and internet protocol security cameras for professional use, and home security and monitoring, as well as robotics and industrial application, including identification/authentication cameras, robotic products, and sensing cameras. The company sells its solutions to original design manufacturers and original equipment manufacturers through its direct sales force and distributors. Ambarella, Inc. was incorporated in 2004 and is headquartered in Santa Clara, California.",Semiconductor Equipment & Materials
"Ambac Financial Group, Inc.",Mr. Claude L. LeBlanc,1993,"Ambac Financial Group, Inc., a financial services holding company, provides financial guarantees in the United States, the United Kingdom, Italy, Austria, Australia, France, and Internationally. It offers financial guarantee insurance policies; and credit derivative contracts and interest rate derivative transactions. The company was incorporated in 1991 and is headquartered in New York, New York.",Insurance—Specialty
Ambow Education Holding Ltd.,Dr. Jin  Huang,1980,"Ambow Education Holding Ltd. provides a range of educational and career enhancement services and products to students, recent graduates, and corporate employees and management professionals in the People's Republic of China. The company operates through two segments, K-12 Schools and CP&CE Programs. The K-12 Schools segment provides educational services covering K-12 programs and tutoring services; and international education programs. The CP&CE Programs segment operates tutoring centers that provide classroom instruction, small class, and one-on-one tutoring services for students to perform better in school and prepare for important tests, primarily high school and university entrance exams; and educational curriculum through its web-based applications. This segment also offers educational software products include eBoPo, which offers full subjects, online practice tests, and instructions for K-12 level students; career enhancement services and products focusing on improving educational opportunities for primary and advanced degree school students, and employment opportunities for university graduates; and outbound and in-house management trainings for corporate clients. In addition, this segment provides students with training for professional skills, such as case studies, job environment simulation, and technical skills; soft skills, including time management, presentation, leadership, and interview techniques; and intellectualized operational services to corporate clients, colleges, and universities. As of December 31, 2020, the company had 37 centers and schools comprising 12 tutoring centers, 3 K-12 schools, 4 career enhancement centers, and 18 training offices. The company was founded in 2000 and is headquartered in Beijing, the People's Republic of China.",Education & Training Services
Ardagh Metal Packaging S.A.,Mr. Oliver  Graham,1960,"Ardagh Metal Packaging S.A. supplies metal beverage cans in Europe, the United States, and Brazil. Its products are used in various end-use categories, including beer, carbonated soft drinks, energy drinks, hard seltzers, juices, pre-mixed cocktails, teas, sparkling waters, and wine. The company serves beverage producers. The company is based in Luxembourg, Luxembourg. Ardagh Metal Packaging S.A. is a subsidiary of Ardagh Group S.A.",Packaging & Containers
"AMC Entertainment Holdings, Inc.",Mr. Adam M. Aron,1953,"AMC Entertainment Holdings, Inc., through its subsidiaries, involved in the theatrical exhibition business. The company owns, operates, or has interests in theatres. As of March 12, 2021, it operated approximately 1000 theatres and 10,700 screens in the United States and internationally. The company was founded in 1920 and is headquartered in Leawood, Kansas.",Entertainment
AMCI Acquisition Corp. II,Mr. Nimesh  Patel,1952,"AMCI Acquisition Corp. II does not have significant operations. The company focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses. It intends to invest in companies that provides energy transition and/or decarbonization solutions to the industrial complex. The company was incorporated in 2021 and is based in Greenwich, Connecticut.",Shell Companies
AMCI Acquisition Corp. II,Mr. Nimesh  Patel,1974,"AMCI Acquisition Corp. II does not have significant operations. The company focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses. It intends to invest in companies that provides energy transition and/or decarbonization solutions to the industrial complex. The company was incorporated in 2021 and is based in Greenwich, Connecticut.",Shell Companies
Amcor plc,"Mr. Ronald Stephen Delia B.Sc., MBA",1996,"Amcor plc develops, produces, and sells packaging products for food, beverage, pharmaceutical, medical, home- and personal-care, and other products worldwide. It operates through two segments, Flexibles and Rigid Packaging. The company provides flexible packaging solutions, special cartons, plastic bottles and jars, and capsules and closures. The company was incorporated in 1926 and is headquartered in ZÃ¼rich, Switzerland.",Packaging & Containers
AMC Networks Inc.,Mr. Joshua W. Sapan,1990,"AMC Networks Inc., an entertainment company, owns and operates a suite of video entertainment products that are delivered to audiences and a platform to distributors and advertisers in the United States and internationally. The company operates in two segments, National Networks; and International and Other. The National Networks segment operates five national programming networks under the AMC, WE tv, BBC AMERICA, IFC, and SundanceTV names. This segment also produces original programming for its programming networks; and licenses, such as programming worldwide, as well as services the national programming networks. The International and Other segment operates a portfolio of channels under the AMCNI name worldwide; subscription streaming business under the Acorn TV, Shudder, Sundance Now, ALLBLK, and AMC+ names; production and comedy venues activities under the Levity name; and film distribution business under the IFC Films name. The company was founded in 1980 and is headquartered in New York, New York.",Broadcasting
"Advanced Micro Devices, Inc.",Dr. Lisa T. Su Ph.D.,2000,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. Its products include x86 microprocessors as an accelerated processing unit, chipsets, discrete and integrated graphics processing units (GPUs), data center and professional GPUs, and development services; and server and embedded processors, and semi-custom System-on-Chip (SoC) products, development services, and technology for game consoles. The company provides x86 microprocessors for desktop PCs under the AMD Ryzen, AMD Ryzen PRO, Ryzen, Threadripper, AMD A-Series, AMD FX, AMD Athlon, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for notebook and 2-in-1s under the AMD Ryzen, AMD A-Series, AMD Athlon, AMD Ryzen PRO, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for servers under the AMD EPYC and AMD Opteron brands; and chipsets under the AMD trademark. It also offers discrete GPUs for desktop and notebook PCs under the AMD Radeon graphics and AMD Embedded Radeon brands; professional graphics products under the AMD Radeon Pro and AMD FirePro graphics brands; and Radeon Instinct and AMD Instinct accelerators for servers. In addition, the company provides embedded processor solutions under the AMD Opteron, AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series processors brands; and customer-specific solutions based on AMD CPU, GPU, and multi-media technologies, as well as semi-custom SoC products. It serves original equipment manufacturers, public cloud service providers, original design manufacturers, system integrators, independent distributors, online retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. Advanced Micro Devices, Inc. was founded in 1969 and is headquartered in Santa Clara, California.",Semiconductors
"AMETEK, Inc.",Mr. David A. Zapico,1959,"AMETEK, Inc. manufactures and sells electronic instruments and electromechanical devices worldwide. It operates in two segments, Electronic Instruments (EIG) and Electromechanical (EMG). The company's EIG segment offers advanced instruments for the process, aerospace, power, and industrial markets; process and analytical instruments for the oil and gas, petrochemical, pharmaceutical, semiconductor, automation, and food and beverage industries; and instruments to the laboratory equipment, ultra-precision manufacturing, medical, and test and measurement markets. This segment also provides power quality monitoring and metering devices, uninterruptible power supplies, programmable power equipment, electromagnetic compatibility test equipment, sensors for gas turbines, dashboard instruments for heavy trucks and other vehicles, and instrumentation and controls for the food and beverage industries; and aircraft and engine sensors, monitoring systems, power supplies, fuel and fluid measurement systems, and data acquisition units for the aerospace industry. Its EMG segment offers engineered electrical connectors and electronics packaging for protecting sensitive electronic devices; precision motion control products for data storage, medical devices, business equipment, automation and other applications; high-purity powdered metals, strip and foil, specialty clad metals, and metal matrix composites; motor-blower systems and heat exchangers for use in thermal management, military, commercial aircraft, and military ground vehicles; and motors for use in commercial appliances, fitness equipment, food and beverage machines, hydraulic pumps, and industrial blowers. This segment also operates a network of aviation maintenance, repair, and overhaul facilities. In addition, the company offers clinical and education communication solutions for healthcare facilities and educational institutions. AMETEK, Inc. was incorporated in 1930 and is headquartered in Berwyn, Pennsylvania.",Specialty Industrial Machinery
"Amedisys, Inc.",Mr. Paul Berthold Kusserow,1980,"Amedisys, Inc., together with its subsidiaries, provides healthcare services in the United States. It operates through three segments: Home Health, Hospice, and Personal Care. The Home Health segment offers a range of services in the homes of individuals for the recovery of patients from surgery, chronic disability, or terminal illness, as well as prevents avoidable hospital readmissions through its skilled nurses; rehabilitation therapists specialized in physical, speech, and occupational therapy; and social workers and aides for assisting its patients. The Hospice segment offers services that is designed to provide comfort and support for those who are dealing with a terminal illness, including cancer, heart disease, pulmonary disease, or Alzheimer's. The Personal Care segment provides assistance for patients with the activities of daily living. As of December 31, 2020, the company owned and operated 320 home health care centers, 180 hospice care centers, and 14 personal-care care centers in 39 states within the United States and the District of Columbia. Amedisys, Inc. was incorporated in 1982 and is headquartered in Baton Rouge, Louisiana.",Medical Care Facilities
"Apollo Medical Holdings, Inc.",Dr. Kenneth T. Sim M.D.,1978,"Apollo Medical Holdings, Inc., a physician-centric technology-powered healthcare management company, provides medical care services. The company is leveraging its proprietary population health management and healthcare delivery platform, operates an integrated, value-based healthcare model which empowers the providers in its network to deliver care to its patients. It offers care coordination services to patients, families, primary care physicians, specialists, acute care hospitals, alternative sites of inpatient care, physician groups, and health plans. The company's physician network consists of primary care physicians, specialist physicians, and hospitalists. It serves patients, primarily covered by private or public insurance, such as Medicare, Medicaid, and health maintenance organization plans; and non-insured patients in California. The company was founded in 1994 and is headquartered in Alhambra, California.",Medical Care Facilities
"Affiliated Managers Group, Inc.",Mr. Jay C. Horgen,1961,"Affiliated Managers Group, Inc., through its affiliates, operates as an asset management company providing investment management services to mutual funds, institutional clients, and high net worth individuals in the United States. It provides advisory or subadvisory services to mutual funds. These funds are distributed to retail and institutional clients directly and through intermediaries, including independent investment advisors, retirement plan sponsors, broker-dealers, major fund marketplaces, and bank trust departments. The company also offers investment products in various investment styles in the institutional distribution channel, including small, small/mid, mid, and large capitalization value and growth equity, and emerging markets. In addition, it offers quantitative, alternative, and fixed income products, and manages assets for foundations and endowments, defined benefit, and defined contribution plans for corporations and municipalities. Affiliated Managers Group provides investment management or customized investment counseling and fiduciary services. The company was formed as a corporation under the laws of Delaware in 1993. Affiliated Managers Group is based in Prides Crossing, Massachusetts.",Asset Management
Amgen Inc.,Mr. Robert A. Bradway,1991,"Amgen Inc. discovers, develops, manufactures, and delivers human therapeutics worldwide. It focuses on inflammation, oncology/hematology, bone health, cardiovascular disease, nephrology, and neuroscience areas. The company's products include Enbrel to treat plaque psoriasis, rheumatoid arthritis, and psoriatic arthritis; Neulasta that reduces the chance of infection due a low white blood cell count in patients cancer; Prolia to treat postmenopausal women with osteoporosis; Xgeva for skeletal-related events prevention; Otezla for the treatment of adult patients with plaque psoriasis, psoriatic arthritis, and oral ulcers associated with BehÃ§et's disease; Aranesp to treat a lower-than-normal number of red blood cells and anemia; KYPROLIS to treat patients with relapsed or refractory multiple myeloma; and Repatha, which reduces the risks of myocardial infarction, stroke, and coronary revascularization. It also markets Nplate, Vectibix, MVASI, Parsabiv, EPOGEN, KANJINTI, BLINCYTO, Aimovig, EVENITY, AMGEVITATM, Sensipar/Mimpara, NEUPOGEN, IMLYGIC, Corlanor, and AVSOLA. Amgen Inc. serves healthcare providers, including physicians or their clinics, dialysis centers, hospitals, and pharmacies. It distributes its products through pharmaceutical wholesale distributors, as well as direct-to-consumer channels. The company has collaboration agreements with Novartis Pharma AG; UCB; Bayer HealthCare LLC; BeiGene, Ltd.; Eli Lilly and Company; Datos Health; and Verastem, Inc. to evaluate VS-6766 in combination with lumakrastm (Sotorasib) in patients with KRAS G12C-mutant non-small cell lung cancer. It has an agreement with Kyowa Kirin Co., Ltd. to jointly develop and commercialize KHK4083, a Phase 3-ready anti-OX40 fully human monoclonal antibody for the treatment of atopic dermatitis and other autoimmune diseases; and a strategic research and development collaboration with Neumora Therapeutics, Inc. Amgen Inc. was founded in 1980 and is headquartered in Thousand Oaks, California.",Drug Manufacturers—General
American Homes 4 Rent,Mr. David P. Singelyn CPA,1971,"American Homes 4 Rent (NYSE: AMH) is a leader in the single-family home rental industry and ""American Homes 4 Rent"" is fast becoming a nationally recognized brand for rental homes, known for high-quality, good value and tenant satisfaction. We are an internally managed Maryland real estate investment trust, or REIT, focused on acquiring, developing, renovating, leasing, and operating attractive, single-family homes as rental properties. As of September 30, 2020, we owned 53,229 single-family properties in selected submarkets in 22 states.",REIT—Residential
"AssetMark Financial Holdings, Inc.",Ms. Natalie Grace Wolfsen,1979,"AssetMark Financial Holdings, Inc. provides wealth management and technology solutions in the United States. The company offers an open-architecture product platform, as well as client advice, asset allocation options, practice management, support services, and technology to the financial adviser channel. It provides integrated technology platform for advisers for accessing a range of automated processes, including new account opening, portfolio construction, streamlined financial planning, customer billing, investor reporting, progress to goal analysis, and client activity tracking; advisory services; and curated investment platform. The company also offers mutual funds to clients of financial advisers; custodial recordkeeping services primarily to investor clients of registered investment advisers; record-keeper and third-party administrator services for retirement products; wealth management services for institutional and individual investors; and insurance services on an intermediary basis. It serves independent advisers who provide wealth management advice to the U.S. investors. The company was founded in 1996 and is headquartered in Concord, California. AssetMark Financial Holdings, Inc. operates as a subsidiary of Huatai International Investment Holdings Limited.",Asset Management
"Amkor Technology, Inc.",Mr. James J. Kim,1962,"Amkor Technology, Inc. provides outsourced semiconductor packaging and test services in the United States, Japan, Europe, the Middle East, Africa, and rest of the Asia Pacific. It offers turnkey packaging and test services, including semiconductor wafer bump, wafer probe, wafer back-grind, package design, packaging, and test and drop shipment services. The company also provides flip chip scale package products for use in smartphones, tablets, and other mobile consumer electronic devices; flip chip stacked chip scale packages that are used to stack memory, and as applications processors in mobile devices; and flip chip ball grid array products for various networking, storage, computing, and consumer applications. In addition, it offers wafer-level CSP packages that are used in power management, transceivers, sensors, wireless charging, codecs, and specialty silicon; wafer-level fan-out packages for use in ICs; and silicon wafer integrated fan-out technology, which replaces a laminate substrate with a thinner structure. Further, the company provides lead frame packages that are used in electronic devices for low to medium pin count applications; substrate-based wirebond packages, which are used to connect a die to a substrate; micro-electro-mechanical systems (MEMS) packages that are miniaturized mechanical and electro-mechanical devices; and advanced system-in-package modules, which are used in radio frequency and front end modules, basebands, connectivity, fingerprint sensors, display and touch screen drivers, sensors and MEMS, and NAND memory and solid state drives. It primarily serves integrated device manufacturers, fabless semiconductor companies, original equipment manufacturers, and contract foundries. Amkor Technology, Inc. was founded in 1968 and is headquartered in Tempe, Arizona.",Semiconductors
"AMN Healthcare Services, Inc.",Ms. Susan R. Salka,1995,"AMN Healthcare Services, Inc. provides healthcare workforce solutions and staffing services to hospitals and healthcare facilities in the United States. The company operates through three segments: Nurse and Allied Solutions, Physician and Leadership Solutions, and Technology and Workforce Solutions. It offers travel nurse staffing under the American Mobile, Onward Healthcare, and O'Grady Peyton brands; rapid response nurse staffing and labor disruption services under the NurseChoice and HealthSource Global Staffing brands; local or per diem staffing services under Nursefinders brand; and locum tenens staffing services under the Staff Care and Locum Leaders brands. The company also provides allied health professionals, such as physical therapists, respiratory therapists, occupational therapists, medical and radiology technologists, lab technicians, speech pathologists, rehabilitation assistants, and pharmacists under the Med Travelers and Club Staffing brands; revenue cycle solutions; physician permanent placement services to hospitals, healthcare facilities, and physician practice groups; interim leadership staffing and executive search services; and recruitment process outsourcing services. In addition, it offers managed services programs; language interpretation services; vendor management systems; workforce optimization services; credentialing services; digital staffing services; and flex pool management services. AMN Healthcare Services, Inc. was founded in 1985 and is based in Dallas, Taxas.",Medical Care Facilities
American National Bankshares Inc.,Mr. Jeffrey Vernon Haley,1952,"American National Bankshares Inc. operates as the bank holding company for American National Bank and Trust Company that provides financial products and services in Virginia and North Carolina. The company operates through two segments, Community Banking, and Trust and Investment Services. It accepts deposit products, including checking, money market, savings, and consumer and commercial time deposits, as well as certificates of deposit. The company's loan products comprise commercial and residential real estate loans, commercial loans to small and medium-sized businesses, construction and land development loans, home equity loans, mortgage loans, and consumer loans. It also offers trust and investment services, such as estate planning, trust account administration, and retail brokerage services; online and telephone banking services; insurance services; and investment management services, including purchasing equity, fixed income, and mutual fund investments for customer accounts, as well as operates 37 automated teller machines. As of December 31, 2020, it operated 26 banking offices; and one loan production offices in Roanoke, Virginia. American National Bankshares Inc. was founded in 1909 and is headquartered in Danville, Virginia.",Banks—Regional
"América Móvil, S.A.B. de C.V.",Mr. Daniel Hajj Aboumrad,1963,"AmÃ©rica MÃ³vil, S.A.B. de C.V. provides telecommunications services in Latin America and internationally. The company offers wireless and fixed voice services, including airtime, local, domestic, and international long-distance services; and network interconnection services. It also provides data services, such as data centers, data administration, and hosting services to residential and corporate clients; value-added services, including Internet access, messaging, and other wireless entertainment and corporate services; data transmission, email services, instant messaging, content streaming, and interactive applications; and wireless security services, mobile payment solutions, machine-to-machine services, mobile banking, virtual private network services, and video calls and personal communications services. In addition, the company offers residential broadband services; IT solutions for small businesses and large corporations; and cable and satellite pay television subscriptions. Further, it sells equipment, accessories, and computers; and offers telephone directories, publishing, wireless security, call center, advertising, media, and software development services. Additionally, the company provides video, audio, and other media content through the internet directly from the content provider to the end user. It sells its products and services under the Telcel, Telmex Infinitum, TracFone, Straight Talk, and A1 brands through a network of retailers and service centers to retail customers; and through sales force to corporate customers. As of December 31, 2020, the company had approximately 287 million wireless voice and data subscribers. AmÃ©rica MÃ³vil, S.A.B. de C.V. was incorporated in 2000 and is based in Mexico City, Mexico.",Telecom Services
